BH0101,"Estado e Relações de Poder A-diurno (São 
Bernardo do Campo)","terca das 08:00 às 10:00, sala B-A004-SB, 
semanal , quinta das 10:00 às 12:00, sala B-A004-
SB, semanal",0,VITOR EMANUEL MARCHETTI FERRAZ JUNIOR
BH0101,"Estado e Relações de Poder A-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala B-A004-SB, 
semanal , quinta das 21:00 às 23:00, sala B-A004-
SB, semanal",0,SIMONE DINIZ
BH0101,"Estado e Relações de Poder B-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A1-S204-SB, 
semanal , quinta das 19:00 às 21:00, sala A1-S204
SB, semanal",0,SIMONE DINIZ
NH4510,"Estágio Supervisionado em Filosofia III A-Diurno
(São Bernardo)",0,"Segunda das 11:00 às 13:00, semanal, sala A1-
S102-SB",0
BH1214,"Estética: Perspectivas Contemporâneas A-
diurno (São Bernardo do Campo)","terca das 08:00 às 12:00, sala A1-S101-SB, 
semanal",0,MARINE DE SOUZA PEREIRA
BH1214,"Estética: Perspectivas Contemporâneas A-
Noturno (São Bernardo do Campo)","quarta das 19:00 às 23:00, sala A1-S101-SB, 
semanal",0,MARINE DE SOUZA PEREIRA
BC0102,"Estrutura da Matéria A1-diurno (São Bernardo 
do Campo)","terca das 08:00 às 10:00, sala A2-S102-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S102-
SB, quinzenal II",0,RODRIGO LUIZ OLIVEIRA RODRIGUES CUNHA
BC0102,"Estrutura da Matéria A1-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S201-SB, 
semanal , sexta das 19:00 às 21:00, sala A2-S201-
SB, quinzenal II",0,Prof. Visitante 2 Química
BC0102,"Estrutura da Matéria A2-diurno (São Bernardo 
do Campo)","terca das 08:00 às 10:00, sala A2-S105-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S105-
SB, quinzenal II",0,ALEXSANDRE FIGUEIREDO LAGO
BC0102,"Estrutura da Matéria A2-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S105-SB, 
semanal , sexta das 19:00 às 21:00, sala A2-S105-
SB, quinzenal II",0,GUSTAVO MORARI DO NASCIMENTO
BC0102,"Estrutura da Matéria B-Noturno (São Bernardo 
do Campo)","terca das 21:00 às 23:00, sala A2-S105-SB, 
semanal , sexta das 21:00 às 23:00, sala A2-S105-
SB, quinzenal II",0,GUSTAVO MORARI DO NASCIMENTO
BC0602,"Estrutura e Dinâmica Social A-diurno (São 
Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S204-SB, 
quinzenal I, quarta das 08:00 às 10:00, sala A2-
S204-SB, semanal",0,WILSON MESQUISTA DE ALMEIDA
BC0602,"Estrutura e Dinâmica Social A-Noturno (São 
Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S301-SB, 
quinzenal I, quarta das 19:00 às 21:00, sala A2-
S301-SB, semanal",0,ELIAS DAVID MORALES MARTINEZ
BH1204,"Ética: perspectivas contemporâneas A-diurno 
(São Bernardo do Campo)","sexta das 14:00 às 18:00, sala A1-S101-SB, 
semanal",0,FLAMARION CALDEIRA RAMOS
BH1204,"Ética: perspectivas contemporâneas A-Noturno 
(São Bernardo do Campo)","quinta das 19:00 às 23:00, sala A1-S101-SB, 
semanal",0,FLAMARION CALDEIRA RAMOS
NH5111,"Existencialismo A-diurno (São Bernardo do 
Campo)","sexta das 08:00 às 12:00, sala A1-S103-SB, 
semanal",0,PAULA PRISCILA BRAGA
BC0209,"Fenômenos Eletromagnéticos A1-diurno (São 
Bernardo do Campo)","terca das 08:00 às 10:00, sala A2-S101-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S101
SB, semanal","quinta das 08:00 às 10:00, sala A1-L303-SB, 
quinzenal I",FELIPE CHEN ABREGO
BC0209,"Fenômenos Eletromagnéticos A1-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S101-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S101
SB, semanal","quinta das 19:00 às 21:00, sala A1-L303-SB, 
quinzenal I",WANIUS JOSE GARCIA DA SILVA
BC0209,"Fenômenos Eletromagnéticos A2-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S101-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S101
SB, semanal","quinta das 19:00 às 21:00, sala A1-L303-SB, 
quinzenal II",WANIUS JOSE GARCIA DA SILVA
BC0209,"Fenômenos Eletromagnéticos A3-diurno (São 
Bernardo do Campo)","terca das 08:00 às 10:00, sala A2-S101-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S101
SB, semanal","quinta das 08:00 às 10:00, sala A1-L304-SB, 
quinzenal I",FELIPE CHEN ABREGO
BC0209,"Fenômenos Eletromagnéticos A3-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S101-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S101
SB, semanal","quinta das 19:00 às 21:00, sala A1-L304-SB, 
quinzenal I",WANIUS JOSE GARCIA DA SILVA
BC0209,"Fenômenos Eletromagnéticos B1-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A2-S102-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S102
SB, semanal","quinta das 21:00 às 23:00, sala A1-L303-SB, 
quinzenal I",ANDRE GUSTAVO SCAGLIUSI LANDULFO
BC0209,"Fenômenos Eletromagnéticos B2-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A2-S102-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S102
SB, semanal","quinta das 21:00 às 23:00, sala A1-L303-SB, 
quinzenal II",ANDRE GUSTAVO SCAGLIUSI LANDULFO
BC0209,"Fenômenos Eletromagnéticos B3-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A2-S102-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S102
SB, semanal","quinta das 21:00 às 23:00, sala A1-L304-SB, 
quinzenal I",ANDRE GUSTAVO SCAGLIUSI LANDULFO
BC0209,"Fenômenos Eletromagnéticos S3-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S301-SB, 
quinzenal I","terca das 19:00 às 21:00, sala A1-L304-SB, 
quinzenal II",ANDRE GUSTAVO SCAGLIUSI LANDULFO
BC0209,"Fenômenos Eletromagnéticos S4-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S301-SB, 
quinzenal I","terca das 19:00 às 21:00, sala A1-L303-SB, 
quinzenal II",ANDRE GUSTAVO SCAGLIUSI LANDULFO
BH1206,"Filosofia da Linguagem A-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 23:00, sala A1-S103-SB, 
semanal",0,WILLIAM JOSE STEINLE
